,Empresas,Cargos,Salarios,Ciudades,Urls
1412,Empresa confidencial,Gerente administrativo y comercial,Salario a convenir,Bucaramanga,https://www.elempleo.com/co/ofertas-trabajo/gerente-administrativo-y-comercial/1885613264
1413,ADECCO COLOMBIA S A,Enfermero jefe de cultura y formacion,"$3,5 a $4 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/enfermero-jefe-de-cultura-y-formacion/1885613250
1414,Nae,Auxiliar contable,Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-contable/1885613280
1415,Empresa confidencial,Montacarguista,"$2 a $2,5 millones",Cartagena,https://www.elempleo.com/co/ofertas-trabajo/montacarguista/1885613252
1416,Empresa confidencial,We're looking for a bilingual quality analyst in barranquilla!,"$2 a $2,5 millones",Barranquilla,https://www.elempleo.com/co/ofertas-trabajo/were-looking-for-a-bilingual-quality-analyst-in-barranquilla/1885613297
1417,SMART CONSULTING AND SERVICE LIMITADA,Comercial ejecutivo,"$1,5 a $2 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/comercial-ejecutivo/1885613290
1418,Empresa confidencial,Asistente administrativo sogomaso,Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/asistente-administrativo-sogomaso/1885613289
1419,Empresa confidencial,Asesor comercial medicina prepagada,Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/asesor-comercial-medicina-prepagada/1885613256
1420,MEDICALL TALENTO HUMANO S.A.S.,Enfermera de gestion del riesgo,"$3 a $3,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/enfermera-de-gestion-del-riesgo/1885613301
1421,TALYCAP GLOBAL SAS,Comercial it,"$1,5 a $2 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/comercial-it/1885613306
1422,GRUPO COOMEVA,Asesor/a integral pereira,"$1,5 a $2 millones",Pereira,https://www.elempleo.com/co/ofertas-trabajo/asesor-a-integral-pereira/1885613314
1423,SYNERGY PARTNERS S.A.S,Operador de planta,"$1 a $1,5 millones",Bogotá alrededores,https://www.elempleo.com/co/ofertas-trabajo/operador-de-planta/1885613317
1424,Empresa confidencial,Asesor comercial interno barrancabermeja,"$1,5 a $2 millones",Barrancabermeja,https://www.elempleo.com/co/ofertas-trabajo/asesor-comercial-interno-barrancabermeja/1885613320
1425,Listos S.A.S,Ingeniero sst,"$2 a $2,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/ingeniero-sst/1885613319
1426,Empresa confidencial,Auditor senior,"$3,5 a $4 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/auditor-senior/1885613323
1427,CONSTRUCTORA BOLIVAR,Almacenista de construcción- cajica,Salario a convenir,Cajicá,https://www.elempleo.com/co/ofertas-trabajo/almacenista-de-construccion-cajica/1885613316
1428,Empresa confidencial,Asesor comercial interno barrancabermeja,"$1,5 a $2 millones",Barrancabermeja,https://www.elempleo.com/co/ofertas-trabajo/asesor-comercial-interno-barrancabermeja/1885177854
1429,Empresa confidencial,Asesor comercial pac- 12302-manizales,"$1,5 a $2 millones",Manizales,https://www.elempleo.com/co/ofertas-trabajo/asesor-comercial-pac-12302manizales/1885613342
1430,Empresa confidencial,Tecnico de soporte sogamoso,Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/tecnico-de-soporte-sogamoso/1885613346
1431,DOBLE ALCA SAS,"Analista logistico calle 80, funza, madrid, mosquera","$1,5 a $2 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/analista-logistico-calle-80-funza-madrid-mosquera/1885613348
1432,MEDICALL TALENTO HUMANO S.A.S.,Auxiliar de admisiones,"$1 a $1,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-de-admisiones/1885613332
1433,Servicio de empleo Comfama,Analista contable 1626037973.42,"$2,5 a $3 millones",Medellín,https://www.elempleo.com/co/ofertas-trabajo/analista-contable-162603797342/1885613340
1434,Empresa confidencial,Auditor academico,Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/auditor-academico/1885613336
1435,Listos S.A.S,Administrador de punto de venta cartagena,"$2 a $2,5 millones",Cartagena,https://www.elempleo.com/co/ofertas-trabajo/administrador-de-punto-de-venta-cartagena/1885613330
1436,Empresa confidencial,Auxiliar de mantenimiento - mecanico,"$1,5 a $2 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-de-mantenimiento-mecanico/1885613562
1437,Empresa confidencial,Auxiliar de contabilidad,Salario a convenir,Medellín,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-de-contabilidad/1885613563
1438,Empresa confidencial,Aprendiz sena contabilidad (bogotá),Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/aprendiz-sena-contabilidad-bogota/1885613545
1439,Zemsania Colombia S.A.S,Gerente de proyectos ti ecommerce - hibrido bogotá,$8 a $10 millones,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/gerente-de-proyectos-ti-ecommerce-hibrido-bogota/1885613543
1440,AGENCIA DE EMPLEO CAFAM,Auxiliar de farmacia,"$1,5 a $2 millones",Chía,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-de-farmacia/1885613379
1441,GI GROUP COLOMBIA S.A.S,Auxiliar comercio exterior - ipiales,"$1 a $1,5 millones",Ipiales,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-comercio-exterior-ipiales/1885613555
1442,Empresa confidencial,Aprendiz sena gestión administrativa (bogotá),Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/aprendiz-sena-gestion-administrativa-bogota/1885613542
1443,Javesalud,Líder de bacteriología ( toma de muestras ) - cali,"$2,5 a $3 millones",Cali,https://www.elempleo.com/co/ofertas-trabajo/lider-de-bacteriologia-toma-de-muestras-cali/1885603707
1444,Promotora apartamentos Dann,Auxiliar de nomina,"$1,5 a $2 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-de-nomina/1885613571
1445,Empresa confidencial,Director financiero,$8 a $10 millones,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/director-financiero/1885613579
1446,Empresa confidencial,Coordinador administrativo,Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/coordinador-administrativo/1885613586
1447,EUSALUD S.A.,Auxiliar de enfermeria en hospitalización,"$1 a $1,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-de-enfermeria-en-hospitalizacion/1885613582
1448,Empresa confidencial,Lijadores,Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/lijadores/1885613589
1449,SUPERNUMERARIOS S.A.,"Meseros - cajicá, chía","$1 a $1,5 millones",Cajicá,https://www.elempleo.com/co/ofertas-trabajo/meseros-cajica-chia/1885613590
1450,UNIVERSIDAD SANTO TOMAS,Auxiliar jardinero,Menos de $1 millón,Bucaramanga,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-jardinero/1884636980
1451,Empresa confidencial,Practicante de psicología,"$1 a $1,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/practicante-de-psicologia/1885613272
1452,Listos S.A.S,Ingeniero sst,"$2 a $2,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/ingeniero-sst/1885613319
1453,SYNERGY PARTNERS S.A.S,Operador de planta,"$1 a $1,5 millones",Bogotá alrededores,https://www.elempleo.com/co/ofertas-trabajo/operador-de-planta/1885613317
1454,Empresa confidencial,Auditor senior,"$3,5 a $4 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/auditor-senior/1885613323
1455,Empresa confidencial,Auditor academico,Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/auditor-academico/1885613336
1456,Servicio de empleo Comfama,Analista contable 1626037973.42,"$2,5 a $3 millones",Medellín,https://www.elempleo.com/co/ofertas-trabajo/analista-contable-162603797342/1885613340
1457,Empresa confidencial,Asesor comercial pac- 12302-manizales,"$1,5 a $2 millones",Manizales,https://www.elempleo.com/co/ofertas-trabajo/asesor-comercial-pac-12302manizales/1885613342
1458,Empresa confidencial,Tecnico de soporte sogamoso,Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/tecnico-de-soporte-sogamoso/1885613346
1459,DOBLE ALCA SAS,"Analista logistico calle 80, funza, madrid, mosquera","$1,5 a $2 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/analista-logistico-calle-80-funza-madrid-mosquera/1885613348
1460,GRUPO COOMEVA,Asesor/a integral pereira,"$1,5 a $2 millones",Pereira,https://www.elempleo.com/co/ofertas-trabajo/asesor-a-integral-pereira/1885613314
1461,Empresa confidencial,Asesor comercial interno barrancabermeja,"$1,5 a $2 millones",Barrancabermeja,https://www.elempleo.com/co/ofertas-trabajo/asesor-comercial-interno-barrancabermeja/1885613320
1462,CONSTRUCTORA BOLIVAR,Almacenista de construcción- cajica,Salario a convenir,Cajicá,https://www.elempleo.com/co/ofertas-trabajo/almacenista-de-construccion-cajica/1885613316
1463,Empresa confidencial,Jefe de importaciones y logistica,Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/jefe-de-importaciones-y-logistica/1885613223
1464,Universidad de la Sabana,Gestor de proyectos,Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/gestor-de-proyectos/1885613143
1465,UNIVERSIDAD ICESI,Auxiliar administrativa (o) start up y aceleración - cali,"$1,5 a $2 millones",Cali,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-administrativa-o-start-up-y-aceleracion-cali/1885613222
1466,Empresa confidencial,Asesor comercial interno barrancabermeja,"$1,5 a $2 millones",Barrancabermeja,https://www.elempleo.com/co/ofertas-trabajo/asesor-comercial-interno-barrancabermeja/1885177854
1467,Listos S.A.S,Administrador de punto de venta cartagena,"$2 a $2,5 millones",Cartagena,https://www.elempleo.com/co/ofertas-trabajo/administrador-de-punto-de-venta-cartagena/1885613330
1468,MEDICALL TALENTO HUMANO S.A.S.,Auxiliar de admisiones,"$1 a $1,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-de-admisiones/1885613332
1469,Sociedad Portuaria Michellmar S.A.,Contador publico,"$2 a $2,5 millones",Barranquilla,https://www.elempleo.com/co/ofertas-trabajo/contador-publico/1885613345
1470,AEMC CONSTRUCCIONES Y CONSULTORIAS SAS,"Auxiliar contable, estudiante","$1 a $1,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-contable-estudiante/1885613357
1471,PANAMERICANA OUTSOURCING S.A.,Coordinador de comercio exterior,"$1,5 a $2 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/coordinador-de-comercio-exterior/1885613359
1472,Empresa confidencial,Analista de lealtad / fidelizacion de clientes,"$3 a $3,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/analista-de-lealtad---fidelizacion-de-clientes/1885613385
1473,CAFAM,Inspector de seguridad integral,"$3 a $3,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/inspector-de-seguridad-integral/1885613390
1474,Servicio de empleo Comfama,Communications and marketing manager bilingüe 1626345623.3,"$4,5 a $5,5 millones",Medellín,https://www.elempleo.com/co/ofertas-trabajo/communications-and-marketing-manager-bilingue-16263456233/1885613391
1475,CREDICORP CAPITAL COLOMBIA,Asistente de contabilidad,Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/asistente-de-contabilidad/1885613388
1476,RACAFE,Asesor comercial de vehículos pesados (buses y camiones),Salario a convenir,Cali,https://www.elempleo.com/co/ofertas-trabajo/asesor-comercial-de-vehiculos-pesados-buses-y-camiones/1885613402
1477,Empresa confidencial,Almacenista junior - siberia y alrededores,"$1 a $1,5 millones",Tenjo,https://www.elempleo.com/co/ofertas-trabajo/almacenista-junior-siberia-y-alrededores/1885613395
1478,Empresa confidencial,Director comercial - medellin,"$4,5 a $5,5 millones",Medellín,https://www.elempleo.com/co/ofertas-trabajo/director-comercial-medellin/1885613365
1479,CHEMISTRY DE COLOMBIA SAS,Representante de ventas,"$1 a $1,5 millones",Remoto,https://www.elempleo.com/co/ofertas-trabajo/representante-de-ventas/1885613375
1480,Empresa confidencial,Consultor comercial de oficina bancaria monteria,"$4 a $4,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/consultor-comercial-de-oficina-bancaria-monteria/1885613378
1481,Empresa confidencial,Practicante de psicología,Salario a convenir,Cartagena,https://www.elempleo.com/co/ofertas-trabajo/practicante-de-psicologia/1885613368
1482,Empresa confidencial,Psicologo - ppl medellin,"$2 a $2,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/psicologo-ppl-medellin/1885613374
1483,RACAFE,Asesor posventa,Salario a convenir,Cali,https://www.elempleo.com/co/ofertas-trabajo/asesor-posventa/1885613466
1484,NEXA BPO,Agente call center cobranzas cartera administrativa,"$1,5 a $2 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/agente-call-center-cobranzas-cartera-administrativa/1885613458
1485,Empresa confidencial,Científico de datos área de riesgo,"$3 a $3,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/cientifico-de-datos-area-de-riesgo/1885613459
1486,Nexarte,Operarios de producción,"$1 a $1,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/operarios-de-produccion/1885613460
1487,Empresa confidencial,Practicante universitario de seguridad y salud en el trabajo,"$1 a $1,5 millones",Bogotá alrededores,https://www.elempleo.com/co/ofertas-trabajo/practicante-universitario-de-seguridad-y-salud-en-el-trabajo/1885613440
1488,DOBLE ALCA SAS,"Auxiliar operativo - logistico calle80, mosquera , madrid, funza","$1 a $1,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-operativo-logistico-calle80-mosquera-madrid-funza/1885613418
1489,BRM SA,Administrador web,Salario a convenir,Remoto,https://www.elempleo.com/co/ofertas-trabajo/administrador-web/1885613436
1490,REFINANCIA S.A.,Asesor de cobranza - medellin,"$1 a $1,5 millones",Sabaneta,https://www.elempleo.com/co/ofertas-trabajo/asesor-de-cobranza-medellin/1885613420
1491,Empresa confidencial,Mensajero repartidor con moto -manizales,Menos de $1 millón,Manizales,https://www.elempleo.com/co/ofertas-trabajo/mensajero-repartidor-con-moto-manizales/1885613437
1492,Integrando Soluciones Logisticas,Auxiliar contable,"$1 a $1,5 millones",Cali,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-contable/1885506394
1493,Gente OK,Vendedor de mostrador - sector eléctrico,"$1,5 a $2 millones",Medellín,https://www.elempleo.com/co/ofertas-trabajo/vendedor-de-mostrador-sector-electrico/1885613347
1494,PROCAPS S.A.,Planeador (licencia de maternidad),Salario a convenir,Barranquilla,https://www.elempleo.com/co/ofertas-trabajo/planeador-licencia-de-maternidad/1885613414
1495,Universidad Cooperativa de Colombia,Profesor (a) tiempo completo derecho maestria en derecho publico - campus popayan,"$4 a $4,5 millones",Popayán,https://www.elempleo.com/co/ofertas-trabajo/profesor-a-tiempo-completo-derecho-maestria-en-derecho-publico-campus-popayan/1885613417
1496,SIES SALUD,Profesional en contaduria,"$1,5 a $2 millones",Bogotá alrededores,https://www.elempleo.com/co/ofertas-trabajo/profesional-en-contaduria/1885613416
1497,REDES HUMANAS S.A.,Especialista hse barranquilla,"$3 a $3,5 millones",Barranquilla,https://www.elempleo.com/co/ofertas-trabajo/especialista-hse-barranquilla/1885613424
1498,ARMESSO S.A.,Vendedor medicina estetíca en medellín.,"$1 a $1,5 millones",Medellín,https://www.elempleo.com/co/ofertas-trabajo/vendedor-medicina-estetica-en-medellin/1885613429
1499,Empresa confidencial,Ejecutivo de ventas,Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/ejecutivo-de-ventas/1885613376
1500,Empresa confidencial,Enfermero jefe -,"$2 a $2,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/enfermero-jefe/1885612869
1501,Arturo Calle,Auxiliar punto de venta,"$1 a $1,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-punto-de-venta/1885612870
1502,WEG,Auxiliar mecánico,"$1 a $1,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-mecanico/1885612871
1503,Empresa confidencial,Profesional comercial y de mercadeo,"$2,5 a $3 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/profesional-comercial-y-de-mercadeo/1885612877
1504,Empresa confidencial,Analista de datos,Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/analista-de-datos/1885538749
1505,SOCIA BPO S.A.S,Auxiliar compras,Salario a convenir,Medellín,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-compras/1885612884
1506,QUIRUMEDICAS LTDA,Analista de planeación de producción - sector farmacéutico.,Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/analista-de-planeacion-de-produccion-sector-farmaceutico/1885612891
1507,REPRESENTACIONES CONTINENTAL S.A.S,Auxiliar administrativo contable,"$2 a $2,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-administrativo-contable/1885612885
1508,S.O.S.,Analista de recobros - cali,"$1,5 a $2 millones",Cali,https://www.elempleo.com/co/ofertas-trabajo/analista-de-recobros-cali/1885612925
1509,Servicio de empleo Comfama,Cocinero/a 1626117314.12,"$1 a $1,5 millones",Medellín,https://www.elempleo.com/co/ofertas-trabajo/cocinero-a-162611731412/1885612923
1510,ENLACE TOTAL DE LA COSTA S.A.S.,Auxiliar administrativa cartagena,"$1 a $1,5 millones",Cartagena,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-administrativa-cartagena/1885369567
1511,Empresa confidencial,Ingeniero de control y automatizacion,"$4 a $4,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/ingeniero-de-control-y-automatizacion/1885612905
1512,BUREAU VERITAS,Auditor de centros de servicio - bogotá,"$1 a $1,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/auditor-de-centros-de-servicio-bogota/1885612896
1513,Servicio de empleo Comfama,Coordinador/a de producción 1626043662.53,"$1,5 a $2 millones",La Estrella,https://www.elempleo.com/co/ofertas-trabajo/coordinador-a-de-produccion-162604366253/1885612915
1514,Empresa confidencial,Aprendiz contable,Salario a convenir,Medellín,https://www.elempleo.com/co/ofertas-trabajo/aprendiz-contable/1885612922
1515,Empresa confidencial,Analista de comercio exterior,Salario a convenir,Cali,https://www.elempleo.com/co/ofertas-trabajo/analista-de-comercio-exterior/1885612912
1516,Empresa confidencial,Auxiliar de nomina y contabilidad,"$2 a $2,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-de-nomina-y-contabilidad/1885612956
1517,Empresa confidencial,Asesor de ventas tecnologia bogotá,"$1 a $1,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/asesor-de-ventas-tecnologia-bogota/1885612929
1518,COLSUBSIDIO,Ejecutivo de aseguramiento retencion empresarial urgente,"$3,5 a $4 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/ejecutivo-de-aseguramiento-retencion-empresarial-urgente/1885612933
1519,Servicio de empleo Comfama,Asesoría en punto de venta 305642.30,"$1 a $1,5 millones",Medellín,https://www.elempleo.com/co/ofertas-trabajo/asesoria-en-punto-de-venta-30564230/1885612937
1520,Empresa confidencial,Auxiliar video cctv,"$1 a $1,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-video-cctv/1885612943
1521,Servicio de empleo Comfama,Líder de desarrollo 1626040293.141,$6 a $8 millones,Medellín,https://www.elempleo.com/co/ofertas-trabajo/lider-de-desarrollo-1626040293141/1885612934
1522,Empresa confidencial,Ingeniero networking,"$3,5 a $4 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/ingeniero-networking/1885612951
1523,NOVATEC,Reclutador ti,"$1 a $1,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/reclutador-ti/1885612954
1524,Inmaculada Concepcion,Auxiliar de cocina,"$1,5 a $2 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-de-cocina/1885612948
1525,ADECCO COLOMBIA S A,Especialista de atraccion del talento humano (cota) con ruta,"$2,5 a $3 millones",Cota,https://www.elempleo.com/co/ofertas-trabajo/especialista-de-atraccion-del-talento-humano-cota-con-ruta/1885612983
1526,Empresa confidencial,Supervisor de transporte la lucha,"$1 a $1,5 millones",Sahagún,https://www.elempleo.com/co/ofertas-trabajo/supervisor-de-transporte-la-lucha/1885356387
1527,Grupo Good,Conductor de obra -pereira,"$1 a $1,5 millones",Pereira,https://www.elempleo.com/co/ofertas-trabajo/conductor-de-obra-pereira/1885612973
1528,UNIVERSIDAD DE LA SALLE,Ingeniero electricista,"$3 a $3,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/ingeniero-electricista/1885612970
1529,CHEIL COLOMBIA,Project manager,Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/project-manager/1885612965
1530,La Comuna Seguros Ltda.,Asesor de seguros,"$1,5 a $2 millones",Medellín,https://www.elempleo.com/co/ofertas-trabajo/asesor-de-seguros/1885612964
1531,LILIPINK,"Líder o administradora punto de venta retail (exp. en tienda de ropa, calzado, accesorios)","$1,5 a $2 millones",Bucaramanga,https://www.elempleo.com/co/ofertas-trabajo/lider-o-administradora-punto-de-venta-retail-exp-en-tienda-de-ropa-calzado-accesorios/1885612967
1532,PONTIFICIA UNIVERSID,Auxiliar de pagos,"$1,5 a $2 millones",Cali,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-de-pagos/1885612966
1533,INSTITUTO DE ESTUDIOS CIENTIFICOS EN ODONTOLOGIA IECO S.A.,Coordinador ips odontologica,"$3 a $3,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/coordinador-ips-odontologica/1884819390
1534,Empresa confidencial,"Analista de viabilidad - bogotá d,c",Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/analista-de-viabilidad-bogota-dc/1885507572
1535,CREDICORP CAPITAL COLOMBIA,Analista sr. recaudos y pagos,Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/analista-sr-recaudos-y-pagos/1885554387
1536,NTT DATA Colombia,Desarrollador terraform iac azure,"$10 a $12,5 millones",Remoto,https://www.elempleo.com/co/ofertas-trabajo/desarrollador-terraform-iac-azure/1885612863
1537,SUSTS Colombia Ltda.,Practicante tecnico o tecnólogo - tecnología y sistemas bogota,Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/practicante-tecnico-o-tecnologo-tecnologia-y-sistemas-bogota/1885613220
1538,KIBERNUM SAS,Analista tecnico/fullstack,$6 a $8 millones,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/analista-tecnico-fullstack/1885613215
1539,Empresa confidencial,Consultor en sistemas integrados de gestión,"$4 a $4,5 millones",Cartagena,https://www.elempleo.com/co/ofertas-trabajo/consultor-en-sistemas-integrados-de-gestion/1885613213
1540,CEDICAF S.A,Técnico en atención pre hospitalario,"$1 a $1,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/tecnico-en-atencion-pre-hospitalario/1885612982
1541,Empresa confidencial,Coordinador administrador en salud - pasto,$6 a $8 millones,Pasto,https://www.elempleo.com/co/ofertas-trabajo/coordinador-administrador-en-salud-pasto/1885613219
1542,Universidad de la Sabana,Gestor de proyectos,Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/gestor-de-proyectos/1885613143
1543,Empresa confidencial,Jefe de importaciones y logistica,Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/jefe-de-importaciones-y-logistica/1885613223
1544,Asesoftware S.A.S,Auxiliar administrativo,"$1 a $1,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-administrativo/1885613118
1545,MASSY ENERGY COLOMBIA S.A.S,Planeador de mantenimiento- parada de planta,"$5,5 a $6 millones",Riohacha,https://www.elempleo.com/co/ofertas-trabajo/planeador-de-mantenimiento-parada-de-planta/1885613225
1546,UNIVERSIDAD ICESI,Auxiliar administrativa (o) start up y aceleración - cali,"$1,5 a $2 millones",Cali,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-administrativa-o-start-up-y-aceleracion-cali/1885613222
1547,Empresa confidencial,¡reconocida multinacional busca un/a analista de selección bilingüe!,"$2,5 a $3 millones",Remoto,https://www.elempleo.com/co/ofertas-trabajo/reconocida-multinacional-busca-un-a-analista-de-seleccion-bilingue/1885609693
1548,Listos S.A.S,Inspector de calidad o laboratorio,"$2 a $2,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/inspector-de-calidad-o-laboratorio/1885613228
1549,SERVICIOS Y ASESORIAS,Director técnico,"$4 a $4,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/director-tecnico/1885613268
1550,GI GROUP COLOMBIA S.A.S,Ejecutivo comercial,"$1,5 a $2 millones",San Francisco,https://www.elempleo.com/co/ofertas-trabajo/ejecutivo-comercial/1885613109
1551,Valin Ingenieria SAS,Experto en excel,$6 a $8 millones,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/experto-en-excel/1885613111
1552,SITEL,Practicante bilingue psicologia-etapa de prácticas,"$1 a $1,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/practicante-bilingue-psicologiaetapa-de-practicas/1885613129
1553,GI GROUP COLOMBIA S.A.S,Ejecutivo comercial,"$1,5 a $2 millones",Garzón,https://www.elempleo.com/co/ofertas-trabajo/ejecutivo-comercial/1885613121
1554,FUNDACIÓN UNIVERSITARIA INTERNACIONAL DE LA RIOJA,Auxiliar gestión administrativa,Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-gestion-administrativa/1885613132
1555,NEXA BPO,Agente call center cobranzas cartera administrativa,"$1,5 a $2 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/agente-call-center-cobranzas-cartera-administrativa/1885613150
1556,STAFFING DE COLOMBIA,Presentadora modelo/ juegos de casino/ medellin,"$1 a $1,5 millones",Medellín,https://www.elempleo.com/co/ofertas-trabajo/presentadora-modelo--juegos-de-casino--medellin/1885613157
1557,Empresa confidencial,Tecnico de soporte sector hidrocarburos,Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/tecnico-de-soporte-sector-hidrocarburos/1885613159
1558,UNIAGRARIA,Docente de apoyo y acompañamiento a prácticas,Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/docente-de-apoyo-y-acompanamiento-a-practicas/1885613169
1559,MSN LABS AMERICAS SAS,Medico administrativo,Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/medico-administrativo/1885613178
1560,Biomedical Distribution Colombia SL LTDA,"Supervisor de infraestructura it, bogotá",$6 a $8 millones,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/supervisor-de-infraestructura-it-bogota/1885613155
1561,Empresa confidencial,Lider mantenimiento (consumo masivo alimentos),"$3 a $3,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/lider-mantenimiento-consumo-masivo-alimentos/1885613149
1562,Empresa confidencial,Analista de mercadeo,"$3,5 a $4 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/analista-de-mercadeo/1885613182
1563,STAFFING DE COLOMBIA,Director de proyectos / mercadeo / mercadotecnia / publicidad,"$3,5 a $4 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/director-de-proyectos---mercadeo---mercadotecnia---publicidad/1885613193
