,Empresas,Cargos,Salarios,Ciudades,Urls
7732,Servicio de empleo Comfama,Aprendiz en sst 1626304191.2,Menos de $1 millón,Medellín,https://www.elempleo.com/co/ofertas-trabajo/aprendiz-en-sst-16263041912/1885613964
7733,MANPOWER,Técnico electromecanico de mantenimiento industrial - cúcuta,"$1,5 a $2 millones",Cúcuta,https://www.elempleo.com/co/ofertas-trabajo/tecnico-electromecanico-de-mantenimiento-industrial-cucuta/1885614006
7734,Empresa confidencial,Practica contrato de aprendizaje diferentes programas,"$1 a $1,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/practica-contrato-de-aprendizaje-diferentes-programas/1885613499
7735,SERES HUMANOS REALIZADOS,Coordinad@r gestión humana,"$2 a $2,5 millones",Medellín,https://www.elempleo.com/co/ofertas-trabajo/coordinadr-gestion-humana/1885613974
7736,Empresa confidencial,Asesor comercial externo - cali,"$1 a $1,5 millones",Cali,https://www.elempleo.com/co/ofertas-trabajo/asesor-comercial-externo-cali/1885613988
7737,Empresa confidencial,Auxiliar de finca - viota,"$1 a $1,5 millones",Viotá,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-de-finca-viota/1885613963
7738,Clínica del Country,Practicante de compensación,"$1 a $1,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/practicante-de-compensacion/1885613236
7739,Progen S.A.,Ingeniero de desarrollo nivel i - urgente,"$2 a $2,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/ingeniero-de-desarrollo-nivel-i-urgente/1885613871
7740,Empresa confidencial,Tecnico de soporte - palmira,"$1 a $1,5 millones",Cali,https://www.elempleo.com/co/ofertas-trabajo/tecnico-de-soporte-palmira/1885578009
7741,UNIAGRARIA,Director de programa de derecho,"$4,5 a $5,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/director-de-programa-de-derecho/1885613997
7742,ALSEA,Asistente contable,"$1,5 a $2 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/asistente-contable/1885614000
